epoch,accuracy,loss,val_accuracy,val_loss
0,0.6631274223327637,3.249990224838257,NA,NA
1,0.7641569972038269,1.9980453252792358,NA,NA
2,0.8124195337295532,1.8159235715866089,NA,NA
3,0.8124195337295532,1.7274754047393799,NA,NA
4,0.8056628108024597,1.6315594911575317,NA,NA
5,0.8204632997512817,1.5317199230194092,NA,NA
6,0.8339768052101135,1.4180718660354614,NA,NA
7,0.8484556078910828,1.3336224555969238,NA,NA
8,0.8503860831260681,1.2496581077575684,NA,NA
9,0.8606821298599243,1.1672149896621704,NA,NA
10,0.8783783912658691,1.0797783136367798,NA,NA
11,0.8828828930854797,1.025267243385315,NA,NA
12,0.8712998628616333,0.9777747392654419,NA,NA
13,0.8906049132347107,0.9003980159759521,NA,NA
14,0.9021878838539124,0.8430195450782776,NA,NA
15,0.910875141620636,0.7881386280059814,NA,NA
16,0.9211711883544922,0.7441681027412415,NA,NA
17,0.9259974360466003,0.7088358998298645,NA,NA
18,0.9375804662704468,0.6675224304199219,NA,NA
19,0.9398326873779297,0.6467724442481995,NA,NA
20,0.946589469909668,0.601920485496521,NA,NA
21,0.9488416910171509,0.5757268071174622,NA,NA
22,0.9533461928367615,0.5559787750244141,NA,NA
23,0.9517374634742737,0.5492376089096069,NA,NA
24,0.9543114304542542,0.5337222218513489,NA,NA
25,0.9652509689331055,0.5030104517936707,NA,NA
26,0.9610682129859924,0.497391939163208,NA,NA
27,0.96138995885849,0.49620380997657776,NA,NA
28,0.9700772166252136,0.4782731235027313,NA,NA
29,0.9810167551040649,0.4499456584453583,NA,NA
